<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 1 >	Karihonnienníhtshera' ne Attokháhtshera'
<MOH id = 2 >	
<MOH id = 3 >	Tiotahsawáhkwen
<MOH id = 4 >	
<MOH id = 5 >	Kí:ken kahiatonhserá:kon ne Karihonnienníhtshera' ne Attokháhtshera', ionkwarihonnién:ni tsi ní:ioht tsi aietiónhnheke' tánon' aietewehià:rake' ne tiótkon ahtshitewahsennakará:tate' tánon' ahtshitewakweniénhsthake' ne Roiá:ner; ase'kénh akwé:kon ne thanónhtons tsi ní:ioht tsi tetewatawén:rie' nia'tewenhniserá:ke. Ne kwah ioterihwíson ne aionkwaniténhton, aionkwa'nikonhriióhake', aiethikweniénhsthake' ne iakó:ten, tánon' aionkwarihwatokénhake' ne onkwatenro'shòn:'a. 
<MOH id = 6 >	
<MOH id = 7 >	Ne Kahatenhstánions Tsi Nón:we Nikahiatónnion 
<MOH id = 8 >	
<MOH id = 9 >	Akonwahsén:naien' ne Attokháhtshera' (1.1—9.18)
<MOH id = 10 >	Raorihonnienníhtshera' ne Solomon (10.1—29.27)
<MOH id = 11 >	Raowenna'shòn:'a ne Agur (30.1-33)
<MOH id = 12 >	Tohkára Ní:kon ne Owenna'shòn:'a Tewatkà:wen
<MOH id = 13 >	(31.1-31)
<MOH id = 14 >	
<MOH id = 15 >	Sha'tékena ne Karihonnienníhtshera'
<MOH id = 16 >	1 Ne kí:ken sha'tékena ionkwarihonnién:nis ne Solomon, thotá:ti. Ronontí:io ne Israel, David roièn:'a.
<MOH id = 17 >	2 Kí:ken karihonnienníhtshera' ensaia'takéhnha' nahsientéhrha'ne' ne attokháhtshera' tánon' kwah tokèn:’en aiesa'nikonhraién:ta'ne' tsi nahò:ten' kén:ton. 
<MOH id = 18 >	3 Ensarihónnien tsi ní:ioht tsi ahsónhnheke' ne tkaié:ri, aontesarihwaié:rike' tánon' aiesarihwakwarihshiónhake'. Enkakwé:ni' aiakorihónnien' nónhka iah teiakoterièn:tare' teniakohswathè:ten' tánon' eniakorihónnien' ne ken' nithotiièn:sa/nithotiièn:sa nahoti'nikonhrowanénhake'. Kí:ken karihonnienníhtshera' enká:nahne' attokháhtshera' sénha enhoti'nikonhrowáhnha' ne roti'nikonhrowá:nen's enhshakoti'nikòn:ron' ne ronateweiénston. Ne ká:ti nahoti'nikonhraién:ta'ne' tsi nahò:ten' wahsehtánion kén:ton ne karihonnienníhtshera' nahonné:sake' tsi nahò:ten' enhatirihwà:ren' ne wentó:re's ne roti'nikonhrowá:nen's. 
<MOH id = 24 >	
<MOH id = 25 >	Iakorihonnién:nis Ken' nithotiièn:sa
<MOH id = 26 >	7 Tóka' íhsehre' aiesa'nikonhrowanénhake' teiotonhwentsóhon ahtskweniénhsthake' ne Roiá:ner. Kí:ken ronátia'ke' tehonatenonhwarorì:tonte' tánon' iah tehatikweniénhstha' ne raottokháhtshera' tánon' iah tehonthón:tats nahontéweienste'.
<MOH id = 27 >	8 Konièn:’a satahónhsatat tsi nahò:ten' eniesahró:ri' ne ia'níha tánon' sa'nisténha. 9 Tsi ká:ti' nahò:ten' eniesarihónnien' ne sénha ioiánere' tsi nenhsonkwe'to'ténhake' tsi shí:ken ní:ioht ne tiok nitioiánere' teiontenonhwarahnhákstha' tóka' ni' ionnihtiákstha' sénha watkahthohtsherí:io naiesá:ken'.
<MOH id = 28 >	10 Konièn:'a, nó:nen ne rotirihwanera'ákskon enhonte'nién:ten' naiesa'nikonhrotá:ko' tóhsa sathón:tat. "Tóka' shí:ken ahonnì:ron', "Kenh nontá:se'; tánon' tewé:sak ónhka aiethiiáhsehte'! Káton eniethiié:na' ne iah othé:nen tehotirì:waien kwah nek ne tsi niion'wé:sen! 
<MOH id = 29 >	12 Tóka' ronnónhnhe' tánon' ronata'karí:te' nó:nen eniethiia'tatshén:ri', akwé:kon enhonenhé:ion nó:nen eniethiiatstáhsi'! 
<MOH id = 30 >	13 Nia'té:kon entewatshén:ri' ne kakwatshéhsera' tánon' tentitewà:rahte' nonkwanonhskónhshon naho'tèn:shon' entewanenhskohá:ton'!
<MOH id = 31 >	14 Ká:ts takwanenhraiéhsten tánon' akwé:kon tentewaià:khon' tsi nahò:ten' entewanénhsko'."
<MOH id = 33 >	 
<MOH id = 34 >	****** Result for Image/Page 3 ******

<MOH id = 37 >	15 Konièn:'a, tóhsa ísewe' kí:ken niionkwe'tò:ten's. Satatia'tohtáhrho. 
<MOH id = 38 >	16 Iah thahatikwé:ni' nahontehrhá:rate' nahò:ten' ahontéron'onhte'. Tió:konte' ronatateweienentà:'on nahshakonáhsehte'. 
<MOH id = 39 >	17 Iah othé:nen tekarihwáhsta tahsarénia'te' à:'are' ne tsítha ahsié:na' tóka' sa'nikòn:rare'. 
<MOH id = 40 >	18 Ne ká:ti' shà:ka nè:'e niionkwe'tò:ten's nahonterístaien' ronónha enhotiié:na' tánon' tho nón:we nenhonníheie'. 
<MOH id = 41 >	19 Ne ónhka ienénhskwas, kenhé:ion ieniakoia'ténhawe' — tho ki' niiá:wen's nónhka ionteriiohsera'ón:we. 
<MOH id = 42 >	
<MOH id = 43 >	Attokháhtshera' Tiakò:nonks
<MOH id = 44 >	
<MOH id = 45 >	20 Satahónhsatat tsi iontkehrontáhkhwa' tánon' kanata'kéhshon tisèn:nonks attokháhtshera', 
<MOH id = 46 >	21 iorakarè:ni tsi tisèn:nonks tsi kaná:taien tioten'enhrakahrón:ton tsi nón:we nón:kwe iontia'tarò:roks:
<MOH id = 47 >	22 "Tsón:kwe ne tesewatenonhwarorì:tonte'! Tó: nikarì:wes iah thaiesewa'nikòn:ratake'? Tó: nikarì:wes entson'weskwaníheke' thaietshiié:ron' ne kaweientéhtshera', iah ken nonwén:ton thaiesewaweientéhta'ne'?
<MOH id = 48 >	23 Sewatahónhsatat nó:nen enkwattéhten'; entkwá:ion' ne karihwí:io, entkáhtka'we' tsi ní:kon wakaterièn:tare'.
<MOH id = 49 >	24 Tkwana'tónnions, kwahonkará:wis naontésewe' nok iah ki' tehskwatahónhsate'. Iah tha'tehskerihwahsniè:se'. 
<MOH id = 50 >	25 Iah tesarihwaié:na nahò:ten' wa'konrihónnien' iah ni' tesathontá:ton ne akonhró:ri' nahò:ten' iah tetkaié:ri tsi nihsatiéhrha'. 
<MOH id = 51 >	26 Nó:nen ká:ti' ne othé:nen tensaterihwatierónnion'se', enkonsté:rihste', thenkonié:ron' nó:nen wa'tisáhkwa'te' ne iótteron's — 
<MOH id = 52 >	27 nó:nen tensáhkwa'te' tahsa'nikonhrhá:ren' né: shà:ka tsi ní:ioht ne tenkaweratá:se' ne ka'nikonhrharáhtshera', saronhiá:ken tánon' sa'nikonhrèn:ton. 
<MOH id = 53 >	28 Thó:ne ó:nen entehskenà:ton' attokháhtshera', iah ki' tha'takerihwa'será:ko'. Tsik nón:we enhstia'tí:sake' iah ki' thahstia'tatshén:ri'. 
<MOH id = 55 >	29 Iah nonwén:ton tesaniaheshà:'on ne karihonnienníhtshera' tánon' iah nonwén:ton tesathontá:ton ne ahtshewén:narahkwe' ne Roiá:ner.
<MOH id = 56 >	Enwá:ton' nahsì:ron' tsítha tóka' ò:ni' otsi'tèn:'a.
<MOH id = 57 >	 
<MOH id = 58 >	****** Result for Image/Page 4 ******

<MOH id = 62 >	30 Iah nonwén:ton tha'tesatonhontsó:ni nahò:ten' akoniaten'nikòn:ron' tánon' iah tesatahonhsatá:ton tsi wa'konhró:ri' iah tetkaié:ri tsi nihsatiéhrha'. 
<MOH id = 63 >	31 Tho ká:ti' enhsié:na' tsi na'tesatèn:tshon tánon' tsi nisatieránion nè:'e ensanonhwaktà:ten'. 
