<MOH id = 0 >	****** Result for Image/Page 1 ******
<MOH id = 1 >	Ne kí:ken ne tekeníhaton iahshakohiá:ton'se' ne Kó:r ne thonwehtáhkwen ne Rawenní:io ne Corinth nón:we 
<MOH id = 2 >	
<MOH id = 3 >	
<MOH id = 4 >	Tsi nikén:tons kí:ken kahiatónhsera 
<MOH id = 5 >	
<MOH id = 6 >	
<MOH id = 7 >	Ne tiotahsawáhkwen kí:ken kahiatónhsera' Kó:r wa'tehshakorihwa'serákwahse' ne tsi na'tehona'nikónhrhare' ne rotirihwiióhston ne Corinth né: tsi ronwarihwáhrhos iah tehoriwaierí:ton tsi nihshakohrharatstén:ni iensehshakonatahré:nahse'. Kó:r kwah ioiánere' tsi teshoterihwahtenién:ni. É:ren rawéhton ne Corinth né:ne tóhsa eh tho ní:ioht tsi awè:ne'ne' sótsi rohní:ron tánon' ra'niakátste' (1:23). Kwah ò:ni' eh tho ní:ioht tsi rahská:nekskwe' nahatkáhtho', tóka' ken ratíhsere' ne raorihonnienníhtshera' tsi ní:ioht naiontate'nikonhrahní:rate' tánon' naonsaiontate'nikónhrhen'se' nónhka iakorihwanéren 
<MOH id = 8 >	(2:5-11).
<MOH id = 9 >	Kó:r sahshakawehiahráhkwen' ne Corinthians tsi nithorihwaié:ri ne Rawenní:io tánon' ò:ni' kwah eh na'tehotonhontsó:ni tho naontahotirihwaié:rike' nahshakotiié:nawa'se' ne Rawenní:io raotióhkwa', ne Jerusalem tánon' ne Judea (8:1—9:15). 
<MOH id = 10 >	
<MOH id = 11 >	
<MOH id = 12 >	****** Result for Image/Page 2 ******
<MOH id = 13 >	2 
<MOH id = 14 >	2 CORINTHIANS 1 
<MOH id = 15 >	Kó:r Rawenní:io roio'ténhse' tsi nonkwá:ti ne á:se' aterihwahseronniáhtshera' (3:1-17). Kwah thawehtáhkwen rohkwísron Rawenniiò:ke niahshakoia'ténhawe' nonkwehshòn:'a, iaweronhátien tóka' nek enkakwé:ni' ne kwah aharonhiá:ken' ne raónha 
<MOH id = 16 >	(4:1—6:13; 10:1—12:10). 
