<MOH id = 0 >	\id RUT 08RUT.MOH Mohawk Bible Translation
<MOH id = 1 >	\rem post-publication coding 20050106 bp
<MOH id = 2 >	\toc3 RUT
<MOH id = 3 >	\toc2 Ruth
<MOH id = 4 >	\toc1 Orihwatokénhti Tsi Kahiá:ton Ne Ruth
<MOH id = 5 >	\mt Orihwatokénhti Tsi Kahiá:ton Ne Ruth
<MOH id = 6 >	\c 1
<MOH id = 7 >	\s1 Elimelech tánon Raohwá:tsire, Moab Niahón:ne'
<MOH id = 8 >	\p
<MOH id = 9 >	\v 1-2 Wahón:nise' ne tho nón: shontakahá:wi' ohén:ton tsi niió:re ne Israier shahotiién:ta’ne' ne Ronontí:io, iah tesewatenna’tsheranákere'. Kí:ken rón:kwe Elimelech ronwá:iats tho nón: nihaià:tare' tsi nihoti’tarò:ten' ne Ephrath tánon' tho nón: nihanákerehkwe' tsi nón: tkaná:taien Bethlehem ne Judah, wà:ne' káti' ne ró:ne Naomi tánon' tehniiáhse' rotihsken’rakéhte' shakotiien’okòn:’a Mahlon tánon' Chilion ronwatí:iats. Ken’ nikarihwésha káti' tho nón: iahatinákerate' tsi tionhwentsá:te' ne Moab. Tsi káti' nikarì:wes tho nón: shihatinákere',
<MOH id = 10 >	\v 3 Elimelech wahrénheie' tánon' Naomi ietsakaonhà:’a tánon' ne tehniiáhse' ronwatiien’okòn:’a.
<MOH id = 11 >	\v 4 Sok wahotíniake' Moabite na’tekenihwatsirò:ten', Orpah tánon' Ruth konwatí:iats. Oié:ri niiohserá:ke ohnà:ken,
<MOH id = 12 >	\v 5 Mahlon tánon' Chilion tetsá:ron wahníheie' tánon' Naomi ia'tonsaiakoià:tihste', iah tetsakoniákon iah ni’ tetsakowí:raien.
<MOH id = 13 >	\s1 Naomi tánon' Ruth shà:kenewe' ne Bethlehem
<MOH id = 14 >	\p
<MOH id = 15 >	\v 6 Ohna’kénhkha káti' Naomi wa’erihwà:ronke' ne Roiá:ner tsi wahshakoia’taté:rihste' ne raonkwe’ta’shòn:’a é:so tahshakotenniéhten' ne kaienthóhsera'; wa’ontateweiennén:ta’ne' káti' wa’akennakerá:ko' ne Moab wa'kón:ne' ne konwatisà:wha.
